film_id,year,rating,liked,watched_date,url,title
673474,2022,,False,,https://letterboxd.com/film/the-lost-city-2022,
474474,2022,,False,,https://letterboxd.com/film/everything-everywhere-all-at-once,
348914,2022,,False,,https://letterboxd.com/film/the-batman,
438727,2022,,False,,https://letterboxd.com/film/turning-red,
581946,2022,,False,,https://letterboxd.com/film/jackass-forever,
513029,2022,,False,,https://letterboxd.com/film/hotel-transylvania-transformania,
809443,2022,,False,,https://letterboxd.com/film/harry-potter-20th-anniversary-return-to-hogwarts,
560787,2021,,False,,https://letterboxd.com/film/spider-man-no-way-home,
795755,2021,,False,,https://letterboxd.com/film/the-beatles-get-back,
371477,2021,,False,,https://letterboxd.com/film/sing-2,
466291,2021,,False,,https://letterboxd.com/film/tick-tick-boom-2021,
496592,2021,,False,,https://letterboxd.com/film/encanto,
790798,2021,,False,,https://letterboxd.com/film/dave-chappelle-the-closer,
677571,2021,,False,,https://letterboxd.com/film/the-black-phone,
787181,2021,,False,,https://letterboxd.com/film/squid-game,
508638,2021,,False,,https://letterboxd.com/film/venom-let-there-be-carnage,
496193,2021,,False,,https://letterboxd.com/film/dear-evan-hansen,
371378,2021,,False,,https://letterboxd.com/film/dune-2021,
488399,2021,,False,,https://letterboxd.com/film/the-green-knight,
707114,2021,,False,,https://letterboxd.com/film/lamb-2021,
471207,2021,,False,,https://letterboxd.com/film/the-french-dispatch,
513030,2021,,False,,https://letterboxd.com/film/escape-room-tournament-of-champions,
438722,2021,,False,,https://letterboxd.com/film/luca-2021,
399500,2021,,False,,https://letterboxd.com/film/in-the-heights,
356723,2021,,False,,https://letterboxd.com/film/the-conjuring-the-devil-made-me-do-it,
320000,2021,,False,,https://letterboxd.com/film/f9,
266676,2021,,False,,https://letterboxd.com/film/cruella,
605687,2021,,False,,https://letterboxd.com/film/north-hollywood-2021,
333825,2021,,False,,https://letterboxd.com/film/godzilla-vs-kong,
709530,2021,,False,,https://letterboxd.com/film/zack-snyders-justice-league,
645487,2021,,False,,https://letterboxd.com/film/malcolm-marie,
395731,2020,,False,,https://letterboxd.com/film/wonder-woman-1984,
668077,2020,,False,,https://letterboxd.com/film/the-queens-gambit,
438511,2020,,False,,https://letterboxd.com/film/soul-2020,
686732,2020,,False,,https://letterboxd.com/film/jujutsu-kaisen,
429945,2020,,False,,https://letterboxd.com/film/the-devil-all-the-time,
506032,2020,,False,,https://letterboxd.com/film/tenet,
334268,2020,,False,,https://letterboxd.com/film/the-spongebob-movie-sponge-on-the-run,
637150,2020,,False,,https://letterboxd.com/film/attack-on-titan-chronicle,
485309,2020,,False,,https://letterboxd.com/film/hamilton-2020,
613671,2020,,False,,https://letterboxd.com/film/smiling-friends,
266675,2020,,False,,https://letterboxd.com/film/mulan-2020,
450337,2020,,False,,https://letterboxd.com/film/a-quiet-place-part-ii,
499085,2020,,False,,https://letterboxd.com/film/the-invisible-man-2020,
485212,2020,,False,,https://letterboxd.com/film/emma-2020,
